1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NotHandlingExceptions,SecuringLibraries,CachingObjects,Scattering,RelativePath,UnusedParameters,HardCodingLibraries,Clustering,ExcessiveObjects,AssumingSafeReturnValue,UnusedDeclaration,ExcessiveCommunication,UnusedImplementation,LocalReferences,MemoryManagement
ExcessiveCommunication,AssumingSafeReturnValue,NotHandlingExceptions,Clustering,MemoryManagement,LocalReferences,UnusedParameters,SecuringLibraries,Scattering,ExcessiveObjects,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,CachingObjects,RelativePath
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,LocalReferences,UnusedImplementation,SecuringLibraries,ExcessiveObjects,HardCodingLibraries,Scattering,UnusedDeclaration,RelativePath,CachingObjects,UnusedParameters
AssumingSafeReturnValue,ExcessiveCommunication,MemoryManagement,Clustering,Scattering,NotHandlingExceptions,LocalReferences,ExcessiveObjects,SecuringLibraries,HardCodingLibraries,UnusedImplementation,RelativePath,CachingObjects,UnusedParameters,UnusedDeclaration
LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,SecuringLibraries,Clustering,ExcessiveCommunication,MemoryManagement,UnusedParameters,Scattering,ExcessiveObjects,UnusedImplementation,CachingObjects,HardCodingLibraries,UnusedDeclaration,RelativePath
NotHandlingExceptions,Clustering,MemoryManagement,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,Scattering,RelativePath,SecuringLibraries,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,ExcessiveObjects,CachingObjects,UnusedParameters
AssumingSafeReturnValue,ExcessiveCommunication,LocalReferences,NotHandlingExceptions,MemoryManagement,Clustering,UnusedImplementation,ExcessiveObjects,SecuringLibraries,CachingObjects,HardCodingLibraries,UnusedParameters,UnusedDeclaration,Scattering,RelativePath
NotHandlingExceptions,Scattering,LocalReferences,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,MemoryManagement,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,RelativePath,UnusedParameters,UnusedDeclaration,HardCodingLibraries
ExcessiveCommunication,Clustering,MemoryManagement,LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,UnusedImplementation,ExcessiveObjects,SecuringLibraries,RelativePath,HardCodingLibraries,UnusedDeclaration,Scattering,CachingObjects,UnusedParameters
NotHandlingExceptions,MemoryManagement,LocalReferences,ExcessiveCommunication,Scattering,AssumingSafeReturnValue,UnusedImplementation,Clustering,SecuringLibraries,CachingObjects,RelativePath,UnusedDeclaration,UnusedParameters,HardCodingLibraries,ExcessiveObjects
LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,ExcessiveCommunication,UnusedParameters,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,Scattering,RelativePath,UnusedDeclaration,HardCodingLibraries
MemoryManagement,LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,CachingObjects,Clustering,ExcessiveCommunication,UnusedImplementation,Scattering,ExcessiveObjects,SecuringLibraries,UnusedParameters,HardCodingLibraries,UnusedDeclaration,RelativePath
Clustering,LocalReferences,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,UnusedDeclaration,ExcessiveObjects,Scattering,HardCodingLibraries,SecuringLibraries,UnusedImplementation,CachingObjects,RelativePath,UnusedParameters
NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,SecuringLibraries,Clustering,ExcessiveCommunication,MemoryManagement,ExcessiveObjects,Scattering,HardCodingLibraries,UnusedImplementation,RelativePath,UnusedParameters,UnusedDeclaration,CachingObjects
MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,Clustering,Scattering,AssumingSafeReturnValue,LocalReferences,CachingObjects,ExcessiveObjects,HardCodingLibraries,UnusedImplementation,SecuringLibraries,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,Clustering,AssumingSafeReturnValue,MemoryManagement,NotHandlingExceptions,SecuringLibraries,ExcessiveCommunication,UnusedImplementation,Scattering,CachingObjects,HardCodingLibraries,UnusedParameters,RelativePath,UnusedDeclaration,ExcessiveObjects
ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,MemoryManagement,Clustering,UnusedImplementation,ExcessiveObjects,Scattering,CachingObjects,HardCodingLibraries,SecuringLibraries,UnusedDeclaration,UnusedParameters,RelativePath
NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,SecuringLibraries,Clustering,AssumingSafeReturnValue,LocalReferences,ExcessiveObjects,HardCodingLibraries,CachingObjects,Scattering,UnusedImplementation,RelativePath,UnusedDeclaration,UnusedParameters
ExcessiveCommunication,NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,Clustering,SecuringLibraries,MemoryManagement,CachingObjects,Scattering,HardCodingLibraries,UnusedParameters,UnusedImplementation,ExcessiveObjects,UnusedDeclaration,RelativePath
MemoryManagement,Scattering,AssumingSafeReturnValue,Clustering,ExcessiveObjects,ExcessiveCommunication,NotHandlingExceptions,LocalReferences,SecuringLibraries,RelativePath,HardCodingLibraries,UnusedImplementation,CachingObjects,UnusedParameters,UnusedDeclaration
NotHandlingExceptions,LocalReferences,ExcessiveCommunication,MemoryManagement,AssumingSafeReturnValue,Clustering,UnusedImplementation,SecuringLibraries,Scattering,CachingObjects,HardCodingLibraries,ExcessiveObjects,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,Clustering,NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,AssumingSafeReturnValue,ExcessiveObjects,CachingObjects,SecuringLibraries,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,RelativePath,UnusedParameters,Scattering
MemoryManagement,ExcessiveCommunication,AssumingSafeReturnValue,Clustering,Scattering,NotHandlingExceptions,LocalReferences,SecuringLibraries,UnusedImplementation,HardCodingLibraries,CachingObjects,ExcessiveObjects,UnusedParameters,UnusedDeclaration,RelativePath
Clustering,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,LocalReferences,UnusedDeclaration,UnusedImplementation,SecuringLibraries,RelativePath,Scattering,ExcessiveObjects,HardCodingLibraries,CachingObjects,UnusedParameters
NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,SecuringLibraries,MemoryManagement,UnusedImplementation,Scattering,ExcessiveObjects,HardCodingLibraries,CachingObjects,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,NotHandlingExceptions,ExcessiveCommunication,AssumingSafeReturnValue,MemoryManagement,SecuringLibraries,Clustering,Scattering,ExcessiveObjects,UnusedDeclaration,RelativePath,CachingObjects,HardCodingLibraries,UnusedParameters,UnusedImplementation
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,ExcessiveCommunication,Scattering,Clustering,LocalReferences,SecuringLibraries,ExcessiveObjects,UnusedImplementation,HardCodingLibraries,UnusedDeclaration,UnusedParameters,CachingObjects,RelativePath
AssumingSafeReturnValue,Scattering,LocalReferences,Clustering,NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,ExcessiveObjects,SecuringLibraries,HardCodingLibraries,CachingObjects,UnusedImplementation,RelativePath,UnusedDeclaration,UnusedParameters
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,LocalReferences,ExcessiveObjects,UnusedDeclaration,Scattering,RelativePath,SecuringLibraries,UnusedImplementation,UnusedParameters,CachingObjects,HardCodingLibraries
ExcessiveCommunication,LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,ExcessiveObjects,SecuringLibraries,Scattering,CachingObjects,UnusedImplementation,HardCodingLibraries,RelativePath,UnusedDeclaration,UnusedParameters
LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,Clustering,MemoryManagement,ExcessiveCommunication,ExcessiveObjects,UnusedImplementation,Scattering,HardCodingLibraries,SecuringLibraries,UnusedDeclaration,RelativePath,UnusedParameters,CachingObjects
RelativePath,ExcessiveCommunication,AssumingSafeReturnValue,NotHandlingExceptions,ExcessiveObjects,MemoryManagement,LocalReferences,Clustering,SecuringLibraries,Scattering,UnusedImplementation,CachingObjects,UnusedParameters,UnusedDeclaration,HardCodingLibraries
ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,Scattering,Clustering,LocalReferences,UnusedDeclaration,HardCodingLibraries,ExcessiveObjects,SecuringLibraries,UnusedImplementation,CachingObjects,UnusedParameters,RelativePath
AssumingSafeReturnValue,ExcessiveCommunication,MemoryManagement,SecuringLibraries,NotHandlingExceptions,Clustering,LocalReferences,ExcessiveObjects,CachingObjects,UnusedImplementation,HardCodingLibraries,Scattering,RelativePath,UnusedParameters,UnusedDeclaration
AssumingSafeReturnValue,Scattering,MemoryManagement,ExcessiveCommunication,Clustering,NotHandlingExceptions,LocalReferences,UnusedImplementation,SecuringLibraries,RelativePath,ExcessiveObjects,UnusedDeclaration,HardCodingLibraries,UnusedParameters,CachingObjects
NotHandlingExceptions,LocalReferences,SecuringLibraries,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,RelativePath,Clustering,Scattering,CachingObjects,HardCodingLibraries,UnusedImplementation,ExcessiveObjects,UnusedDeclaration,UnusedParameters
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,ExcessiveObjects,SecuringLibraries,Scattering,CachingObjects,UnusedImplementation,UnusedParameters,HardCodingLibraries,UnusedDeclaration,RelativePath
NotHandlingExceptions,ExcessiveCommunication,AssumingSafeReturnValue,MemoryManagement,Scattering,Clustering,LocalReferences,UnusedDeclaration,ExcessiveObjects,RelativePath,SecuringLibraries,UnusedImplementation,UnusedParameters,CachingObjects,HardCodingLibraries
AssumingSafeReturnValue,Clustering,MemoryManagement,SecuringLibraries,NotHandlingExceptions,ExcessiveCommunication,LocalReferences,UnusedImplementation,ExcessiveObjects,HardCodingLibraries,Scattering,RelativePath,UnusedParameters,UnusedDeclaration,CachingObjects
ExcessiveCommunication,LocalReferences,MemoryManagement,Clustering,AssumingSafeReturnValue,NotHandlingExceptions,UnusedImplementation,ExcessiveObjects,Scattering,HardCodingLibraries,SecuringLibraries,RelativePath,UnusedDeclaration,UnusedParameters,CachingObjects
AssumingSafeReturnValue,LocalReferences,NotHandlingExceptions,Clustering,ExcessiveCommunication,MemoryManagement,Scattering,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,HardCodingLibraries,RelativePath,UnusedParameters,UnusedDeclaration
NotHandlingExceptions,MemoryManagement,LocalReferences,AssumingSafeReturnValue,Scattering,ExcessiveCommunication,SecuringLibraries,Clustering,ExcessiveObjects,HardCodingLibraries,UnusedImplementation,CachingObjects,UnusedParameters,RelativePath,UnusedDeclaration
ExcessiveCommunication,MemoryManagement,AssumingSafeReturnValue,SecuringLibraries,NotHandlingExceptions,Clustering,LocalReferences,UnusedImplementation,ExcessiveObjects,RelativePath,HardCodingLibraries,UnusedDeclaration,Scattering,CachingObjects,UnusedParameters
LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,MemoryManagement,ExcessiveObjects,UnusedParameters,SecuringLibraries,CachingObjects,UnusedImplementation,HardCodingLibraries,UnusedDeclaration,Scattering,RelativePath
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,Clustering,AssumingSafeReturnValue,MemoryManagement,SecuringLibraries,CachingObjects,UnusedImplementation,ExcessiveObjects,HardCodingLibraries,Scattering,RelativePath,UnusedDeclaration,UnusedParameters
NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,MemoryManagement,Clustering,SecuringLibraries,ExcessiveCommunication,Scattering,ExcessiveObjects,CachingObjects,HardCodingLibraries,UnusedImplementation,RelativePath,UnusedDeclaration,UnusedParameters
Clustering,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,ExcessiveObjects,ExcessiveCommunication,LocalReferences,UnusedParameters,Scattering,CachingObjects,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,SecuringLibraries,RelativePath
LocalReferences,NotHandlingExceptions,MemoryManagement,ExcessiveCommunication,Scattering,AssumingSafeReturnValue,UnusedDeclaration,Clustering,HardCodingLibraries,ExcessiveObjects,RelativePath,UnusedImplementation,SecuringLibraries,CachingObjects,UnusedParameters
NotHandlingExceptions,ExcessiveCommunication,AssumingSafeReturnValue,LocalReferences,MemoryManagement,Clustering,Scattering,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,RelativePath,HardCodingLibraries,UnusedDeclaration,UnusedParameters
MemoryManagement,NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,SecuringLibraries,UnusedParameters,Clustering,Scattering,ExcessiveObjects,HardCodingLibraries,UnusedImplementation,RelativePath,CachingObjects,UnusedDeclaration
NotHandlingExceptions,MemoryManagement,LocalReferences,ExcessiveCommunication,Scattering,AssumingSafeReturnValue,ExcessiveObjects,Clustering,SecuringLibraries,CachingObjects,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,UnusedParameters,RelativePath
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,LocalReferences,ExcessiveObjects,RelativePath,SecuringLibraries,CachingObjects,HardCodingLibraries,UnusedImplementation,Scattering,UnusedDeclaration,UnusedParameters
LocalReferences,Scattering,AssumingSafeReturnValue,ExcessiveCommunication,NotHandlingExceptions,MemoryManagement,UnusedParameters,Clustering,CachingObjects,HardCodingLibraries,SecuringLibraries,UnusedImplementation,ExcessiveObjects,UnusedDeclaration,RelativePath
NotHandlingExceptions,Clustering,MemoryManagement,SecuringLibraries,AssumingSafeReturnValue,ExcessiveCommunication,LocalReferences,UnusedImplementation,Scattering,ExcessiveObjects,HardCodingLibraries,UnusedParameters,CachingObjects,UnusedDeclaration,RelativePath
MemoryManagement,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,NotHandlingExceptions,Clustering,UnusedParameters,UnusedImplementation,Scattering,HardCodingLibraries,SecuringLibraries,ExcessiveObjects,RelativePath,UnusedDeclaration,CachingObjects
NotHandlingExceptions,Clustering,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,SecuringLibraries,ExcessiveObjects,Scattering,CachingObjects,MemoryManagement,HardCodingLibraries,UnusedDeclaration,UnusedImplementation,UnusedParameters,RelativePath
NotHandlingExceptions,LocalReferences,ExcessiveCommunication,MemoryManagement,Clustering,AssumingSafeReturnValue,CachingObjects,ExcessiveObjects,Scattering,SecuringLibraries,UnusedImplementation,UnusedDeclaration,RelativePath,UnusedParameters,HardCodingLibraries
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,SecuringLibraries,UnusedParameters,HardCodingLibraries,ExcessiveObjects,CachingObjects,Scattering,UnusedImplementation,RelativePath,UnusedDeclaration,Clustering
MemoryManagement,NotHandlingExceptions,LocalReferences,Clustering,ExcessiveCommunication,AssumingSafeReturnValue,UnusedImplementation,ExcessiveObjects,CachingObjects,Scattering,HardCodingLibraries,SecuringLibraries,RelativePath,UnusedDeclaration,UnusedParameters
NotHandlingExceptions,Clustering,LocalReferences,ExcessiveCommunication,Scattering,AssumingSafeReturnValue,UnusedImplementation,MemoryManagement,SecuringLibraries,ExcessiveObjects,RelativePath,CachingObjects,HardCodingLibraries,UnusedDeclaration,UnusedParameters
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,Clustering,ExcessiveCommunication,RelativePath,SecuringLibraries,ExcessiveObjects,CachingObjects,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,Scattering,UnusedParameters
NotHandlingExceptions,LocalReferences,ExcessiveCommunication,AssumingSafeReturnValue,MemoryManagement,Clustering,UnusedDeclaration,ExcessiveObjects,Scattering,CachingObjects,UnusedImplementation,RelativePath,SecuringLibraries,UnusedParameters,HardCodingLibraries
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,Scattering,ExcessiveCommunication,Clustering,SecuringLibraries,ExcessiveObjects,RelativePath,UnusedImplementation,CachingObjects,UnusedDeclaration,HardCodingLibraries,UnusedParameters
AssumingSafeReturnValue,LocalReferences,MemoryManagement,Clustering,NotHandlingExceptions,ExcessiveCommunication,UnusedImplementation,ExcessiveObjects,Scattering,CachingObjects,HardCodingLibraries,SecuringLibraries,UnusedDeclaration,RelativePath,UnusedParameters
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,ExcessiveObjects,MemoryManagement,UnusedDeclaration,Clustering,SecuringLibraries,HardCodingLibraries,Scattering,UnusedImplementation,CachingObjects,RelativePath,UnusedParameters
MemoryManagement,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,NotHandlingExceptions,Scattering,UnusedImplementation,ExcessiveObjects,HardCodingLibraries,SecuringLibraries,RelativePath,UnusedParameters,CachingObjects,UnusedDeclaration
MemoryManagement,Scattering,LocalReferences,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,NotHandlingExceptions,ExcessiveObjects,SecuringLibraries,UnusedImplementation,CachingObjects,UnusedDeclaration,RelativePath,UnusedParameters,HardCodingLibraries
AssumingSafeReturnValue,ExcessiveCommunication,NotHandlingExceptions,Clustering,LocalReferences,MemoryManagement,UnusedParameters,UnusedImplementation,SecuringLibraries,RelativePath,HardCodingLibraries,ExcessiveObjects,UnusedDeclaration,Scattering,CachingObjects
ExcessiveCommunication,Scattering,LocalReferences,AssumingSafeReturnValue,MemoryManagement,NotHandlingExceptions,UnusedImplementation,Clustering,ExcessiveObjects,CachingObjects,HardCodingLibraries,UnusedDeclaration,SecuringLibraries,UnusedParameters,RelativePath
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,SecuringLibraries,Clustering,MemoryManagement,AssumingSafeReturnValue,ExcessiveObjects,Scattering,CachingObjects,UnusedImplementation,RelativePath,UnusedParameters,UnusedDeclaration,HardCodingLibraries
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,ExcessiveCommunication,Scattering,LocalReferences,UnusedDeclaration,Clustering,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,HardCodingLibraries,UnusedParameters,RelativePath
MemoryManagement,AssumingSafeReturnValue,SecuringLibraries,Clustering,NotHandlingExceptions,ExcessiveCommunication,LocalReferences,CachingObjects,ExcessiveObjects,RelativePath,HardCodingLibraries,UnusedImplementation,Scattering,UnusedDeclaration,UnusedParameters
AssumingSafeReturnValue,LocalReferences,MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,Clustering,SecuringLibraries,ExcessiveObjects,Scattering,UnusedImplementation,HardCodingLibraries,CachingObjects,RelativePath,UnusedDeclaration,UnusedParameters
MemoryManagement,Clustering,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,NotHandlingExceptions,UnusedDeclaration,UnusedImplementation,Scattering,RelativePath,HardCodingLibraries,ExcessiveObjects,SecuringLibraries,UnusedParameters,CachingObjects
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,ExcessiveCommunication,ExcessiveObjects,Clustering,LocalReferences,UnusedDeclaration,SecuringLibraries,CachingObjects,HardCodingLibraries,UnusedImplementation,Scattering,UnusedParameters,RelativePath
NotHandlingExceptions,Clustering,MemoryManagement,SecuringLibraries,AssumingSafeReturnValue,ExcessiveCommunication,LocalReferences,Scattering,ExcessiveObjects,CachingObjects,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,UnusedParameters,RelativePath
NotHandlingExceptions,Scattering,AssumingSafeReturnValue,MemoryManagement,Clustering,LocalReferences,UnusedDeclaration,ExcessiveCommunication,ExcessiveObjects,CachingObjects,HardCodingLibraries,UnusedImplementation,SecuringLibraries,UnusedParameters,RelativePath
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,ExcessiveCommunication,SecuringLibraries,UnusedDeclaration,Clustering,Scattering,UnusedImplementation,ExcessiveObjects,RelativePath,HardCodingLibraries,UnusedParameters,CachingObjects
ExcessiveCommunication,Scattering,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,Clustering,LocalReferences,SecuringLibraries,ExcessiveObjects,RelativePath,UnusedImplementation,HardCodingLibraries,UnusedDeclaration,CachingObjects,UnusedParameters
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,SecuringLibraries,Clustering,AssumingSafeReturnValue,MemoryManagement,Scattering,CachingObjects,ExcessiveObjects,RelativePath,UnusedImplementation,UnusedDeclaration,UnusedParameters,HardCodingLibraries
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,Clustering,LocalReferences,ExcessiveCommunication,UnusedImplementation,SecuringLibraries,Scattering,CachingObjects,HardCodingLibraries,UnusedParameters,RelativePath,UnusedDeclaration,ExcessiveObjects
MemoryManagement,LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,Scattering,Clustering,UnusedDeclaration,ExcessiveCommunication,ExcessiveObjects,SecuringLibraries,RelativePath,UnusedImplementation,HardCodingLibraries,CachingObjects,UnusedParameters
LocalReferences,NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,ExcessiveObjects,UnusedImplementation,SecuringLibraries,CachingObjects,Scattering,UnusedDeclaration,HardCodingLibraries,RelativePath,UnusedParameters
ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,LocalReferences,UnusedImplementation,SecuringLibraries,Scattering,UnusedDeclaration,HardCodingLibraries,ExcessiveObjects,RelativePath,UnusedParameters,CachingObjects
LocalReferences,NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,Clustering,SecuringLibraries,ExcessiveCommunication,CachingObjects,UnusedParameters,ExcessiveObjects,Scattering,RelativePath,UnusedDeclaration,UnusedImplementation,HardCodingLibraries
