1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LocalReferences,Clustering,NotHandlingExceptions,AssumingSafeReturnValue,ExcessiveCommunication,MemoryManagement,RelativePath,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,HardCodingLibraries,Scattering,UnusedDeclaration,UnusedParameters
Clustering,Scattering,LocalReferences,ExcessiveCommunication,AssumingSafeReturnValue,NotHandlingExceptions,ExcessiveObjects,UnusedImplementation,SecuringLibraries,UnusedDeclaration,CachingObjects,RelativePath,HardCodingLibraries,MemoryManagement,UnusedParameters
NotHandlingExceptions,ExcessiveCommunication,LocalReferences,Clustering,RelativePath,AssumingSafeReturnValue,CachingObjects,SecuringLibraries,ExcessiveObjects,MemoryManagement,HardCodingLibraries,UnusedImplementation,Scattering,UnusedDeclaration,UnusedParameters
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,LocalReferences,ExcessiveCommunication,SecuringLibraries,Clustering,Scattering,UnusedParameters,CachingObjects,UnusedImplementation,ExcessiveObjects,UnusedDeclaration,HardCodingLibraries,RelativePath
LocalReferences,NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,SecuringLibraries,ExcessiveObjects,HardCodingLibraries,Scattering,UnusedImplementation,UnusedParameters,RelativePath,UnusedDeclaration,CachingObjects
AssumingSafeReturnValue,MemoryManagement,NotHandlingExceptions,ExcessiveCommunication,Scattering,Clustering,LocalReferences,UnusedImplementation,SecuringLibraries,ExcessiveObjects,CachingObjects,RelativePath,UnusedDeclaration,HardCodingLibraries,UnusedParameters
NotHandlingExceptions,LocalReferences,MemoryManagement,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,SecuringLibraries,CachingObjects,Scattering,HardCodingLibraries,UnusedImplementation,ExcessiveObjects,RelativePath,UnusedParameters,UnusedDeclaration
AssumingSafeReturnValue,ExcessiveCommunication,MemoryManagement,Clustering,NotHandlingExceptions,LocalReferences,SecuringLibraries,ExcessiveObjects,Scattering,CachingObjects,UnusedImplementation,RelativePath,UnusedParameters,HardCodingLibraries,UnusedDeclaration
NotHandlingExceptions,Scattering,AssumingSafeReturnValue,LocalReferences,ExcessiveObjects,ExcessiveCommunication,Clustering,SecuringLibraries,MemoryManagement,UnusedImplementation,CachingObjects,UnusedParameters,HardCodingLibraries,UnusedDeclaration,RelativePath
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,Clustering,ExcessiveCommunication,ExcessiveObjects,SecuringLibraries,Scattering,UnusedImplementation,RelativePath,UnusedDeclaration,CachingObjects,HardCodingLibraries,UnusedParameters
LocalReferences,NotHandlingExceptions,MemoryManagement,ExcessiveCommunication,AssumingSafeReturnValue,Clustering,SecuringLibraries,ExcessiveObjects,Scattering,HardCodingLibraries,UnusedImplementation,CachingObjects,RelativePath,UnusedParameters,UnusedDeclaration
MemoryManagement,ExcessiveCommunication,AssumingSafeReturnValue,LocalReferences,Clustering,NotHandlingExceptions,SecuringLibraries,CachingObjects,UnusedImplementation,ExcessiveObjects,Scattering,HardCodingLibraries,RelativePath,UnusedParameters,UnusedDeclaration
NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,Clustering,SecuringLibraries,ExcessiveObjects,Scattering,UnusedImplementation,HardCodingLibraries,UnusedDeclaration,RelativePath,CachingObjects,UnusedParameters
ExcessiveCommunication,Clustering,AssumingSafeReturnValue,LocalReferences,MemoryManagement,NotHandlingExceptions,ExcessiveObjects,SecuringLibraries,Scattering,CachingObjects,HardCodingLibraries,UnusedDeclaration,UnusedImplementation,UnusedParameters,RelativePath
AssumingSafeReturnValue,NotHandlingExceptions,MemoryManagement,Clustering,Scattering,ExcessiveCommunication,LocalReferences,UnusedImplementation,ExcessiveObjects,SecuringLibraries,RelativePath,UnusedDeclaration,HardCodingLibraries,CachingObjects,UnusedParameters
MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,LocalReferences,SecuringLibraries,CachingObjects,UnusedImplementation,ExcessiveObjects,Scattering,HardCodingLibraries,UnusedDeclaration,UnusedParameters,RelativePath
NotHandlingExceptions,MemoryManagement,ExcessiveCommunication,Clustering,LocalReferences,AssumingSafeReturnValue,SecuringLibraries,ExcessiveObjects,Scattering,HardCodingLibraries,RelativePath,CachingObjects,UnusedDeclaration,UnusedImplementation,UnusedParameters
LocalReferences,Scattering,AssumingSafeReturnValue,Clustering,NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,SecuringLibraries,CachingObjects,UnusedDeclaration,UnusedImplementation,ExcessiveObjects,RelativePath,HardCodingLibraries,UnusedParameters
LocalReferences,NotHandlingExceptions,ExcessiveCommunication,AssumingSafeReturnValue,MemoryManagement,SecuringLibraries,Clustering,Scattering,ExcessiveObjects,UnusedDeclaration,RelativePath,CachingObjects,HardCodingLibraries,UnusedParameters,UnusedImplementation
ExcessiveCommunication,LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,ExcessiveObjects,SecuringLibraries,Scattering,CachingObjects,UnusedImplementation,HardCodingLibraries,RelativePath,UnusedDeclaration,UnusedParameters
RelativePath,ExcessiveCommunication,AssumingSafeReturnValue,NotHandlingExceptions,ExcessiveObjects,MemoryManagement,LocalReferences,Clustering,SecuringLibraries,Scattering,UnusedImplementation,CachingObjects,UnusedParameters,UnusedDeclaration,HardCodingLibraries
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,Clustering,AssumingSafeReturnValue,MemoryManagement,SecuringLibraries,CachingObjects,UnusedImplementation,ExcessiveObjects,HardCodingLibraries,Scattering,RelativePath,UnusedDeclaration,UnusedParameters
NotHandlingExceptions,Clustering,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,SecuringLibraries,ExcessiveObjects,Scattering,CachingObjects,MemoryManagement,HardCodingLibraries,UnusedDeclaration,UnusedImplementation,UnusedParameters,RelativePath
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,Scattering,ExcessiveCommunication,Clustering,SecuringLibraries,ExcessiveObjects,RelativePath,UnusedImplementation,CachingObjects,UnusedDeclaration,HardCodingLibraries,UnusedParameters
MemoryManagement,Scattering,LocalReferences,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,NotHandlingExceptions,ExcessiveObjects,SecuringLibraries,UnusedImplementation,CachingObjects,UnusedDeclaration,RelativePath,UnusedParameters,HardCodingLibraries
AssumingSafeReturnValue,LocalReferences,MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,Clustering,SecuringLibraries,ExcessiveObjects,Scattering,UnusedImplementation,HardCodingLibraries,CachingObjects,RelativePath,UnusedDeclaration,UnusedParameters
NotHandlingExceptions,Clustering,MemoryManagement,SecuringLibraries,AssumingSafeReturnValue,ExcessiveCommunication,LocalReferences,Scattering,ExcessiveObjects,CachingObjects,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,UnusedParameters,RelativePath
LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,MemoryManagement,ExcessiveObjects,SecuringLibraries,Scattering,UnusedImplementation,HardCodingLibraries,CachingObjects,RelativePath,UnusedParameters,UnusedDeclaration
NotHandlingExceptions,ExcessiveCommunication,AssumingSafeReturnValue,MemoryManagement,ExcessiveObjects,Clustering,LocalReferences,SecuringLibraries,Scattering,CachingObjects,HardCodingLibraries,UnusedDeclaration,UnusedImplementation,RelativePath,UnusedParameters
ExcessiveCommunication,Scattering,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,Clustering,LocalReferences,SecuringLibraries,ExcessiveObjects,RelativePath,UnusedImplementation,HardCodingLibraries,UnusedDeclaration,CachingObjects,UnusedParameters
LocalReferences,NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,ExcessiveObjects,UnusedImplementation,SecuringLibraries,CachingObjects,Scattering,UnusedDeclaration,HardCodingLibraries,RelativePath,UnusedParameters
NotHandlingExceptions,ExcessiveCommunication,AssumingSafeReturnValue,Clustering,Scattering,LocalReferences,SecuringLibraries,HardCodingLibraries,MemoryManagement,CachingObjects,UnusedImplementation,ExcessiveObjects,UnusedDeclaration,UnusedParameters,RelativePath
AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,Scattering,LocalReferences,ExcessiveObjects,CachingObjects,SecuringLibraries,HardCodingLibraries,RelativePath,UnusedDeclaration,UnusedImplementation,Clustering,UnusedParameters
NotHandlingExceptions,Scattering,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,Clustering,LocalReferences,ExcessiveObjects,UnusedDeclaration,RelativePath,UnusedImplementation,HardCodingLibraries,CachingObjects,UnusedParameters,SecuringLibraries
MemoryManagement,NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,SecuringLibraries,Scattering,ExcessiveObjects,UnusedDeclaration,CachingObjects,RelativePath,HardCodingLibraries,UnusedParameters,UnusedImplementation
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,ExcessiveCommunication,ExcessiveObjects,SecuringLibraries,Clustering,LocalReferences,CachingObjects,UnusedImplementation,HardCodingLibraries,UnusedDeclaration,Scattering,UnusedParameters,RelativePath
ExcessiveCommunication,NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,Clustering,LocalReferences,SecuringLibraries,UnusedDeclaration,Scattering,HardCodingLibraries,RelativePath,ExcessiveObjects,UnusedImplementation,UnusedParameters,CachingObjects
MemoryManagement,AssumingSafeReturnValue,SecuringLibraries,NotHandlingExceptions,ExcessiveObjects,ExcessiveCommunication,LocalReferences,Scattering,Clustering,UnusedImplementation,CachingObjects,HardCodingLibraries,RelativePath,UnusedParameters,UnusedDeclaration
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,Clustering,ExcessiveCommunication,SecuringLibraries,UnusedImplementation,Scattering,CachingObjects,HardCodingLibraries,UnusedDeclaration,UnusedParameters,ExcessiveObjects,RelativePath
NotHandlingExceptions,LocalReferences,MemoryManagement,ExcessiveCommunication,ExcessiveObjects,AssumingSafeReturnValue,Clustering,SecuringLibraries,Scattering,RelativePath,UnusedImplementation,HardCodingLibraries,CachingObjects,UnusedDeclaration,UnusedParameters
NotHandlingExceptions,MemoryManagement,LocalReferences,AssumingSafeReturnValue,Scattering,ExcessiveCommunication,ExcessiveObjects,SecuringLibraries,Clustering,RelativePath,UnusedImplementation,CachingObjects,UnusedParameters,HardCodingLibraries,UnusedDeclaration
NotHandlingExceptions,Clustering,MemoryManagement,SecuringLibraries,AssumingSafeReturnValue,ExcessiveCommunication,ExcessiveObjects,LocalReferences,Scattering,CachingObjects,UnusedImplementation,UnusedParameters,HardCodingLibraries,RelativePath,UnusedDeclaration
NotHandlingExceptions,Scattering,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,LocalReferences,ExcessiveObjects,SecuringLibraries,UnusedDeclaration,HardCodingLibraries,MemoryManagement,CachingObjects,RelativePath,UnusedImplementation,UnusedParameters
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,ExcessiveObjects,LocalReferences,SecuringLibraries,Scattering,UnusedDeclaration,HardCodingLibraries,CachingObjects,RelativePath,UnusedParameters,UnusedImplementation
NotHandlingExceptions,Clustering,MemoryManagement,ExcessiveCommunication,AssumingSafeReturnValue,ExcessiveObjects,SecuringLibraries,LocalReferences,Scattering,UnusedImplementation,HardCodingLibraries,UnusedDeclaration,CachingObjects,UnusedParameters,RelativePath
NotHandlingExceptions,MemoryManagement,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,UnusedImplementation,CachingObjects,ExcessiveObjects,SecuringLibraries,Scattering,HardCodingLibraries,RelativePath,UnusedParameters,UnusedDeclaration
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,Clustering,ExcessiveCommunication,SecuringLibraries,ExcessiveObjects,Scattering,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,CachingObjects,RelativePath,UnusedParameters
AssumingSafeReturnValue,ExcessiveCommunication,MemoryManagement,Clustering,Scattering,NotHandlingExceptions,LocalReferences,ExcessiveObjects,SecuringLibraries,HardCodingLibraries,UnusedImplementation,RelativePath,CachingObjects,UnusedParameters,UnusedDeclaration
LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,SecuringLibraries,Clustering,ExcessiveCommunication,MemoryManagement,UnusedParameters,Scattering,ExcessiveObjects,UnusedImplementation,CachingObjects,HardCodingLibraries,UnusedDeclaration,RelativePath
NotHandlingExceptions,Clustering,MemoryManagement,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,Scattering,RelativePath,SecuringLibraries,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,ExcessiveObjects,CachingObjects,UnusedParameters
AssumingSafeReturnValue,ExcessiveCommunication,LocalReferences,NotHandlingExceptions,MemoryManagement,Clustering,UnusedImplementation,ExcessiveObjects,SecuringLibraries,CachingObjects,HardCodingLibraries,UnusedParameters,UnusedDeclaration,Scattering,RelativePath
NotHandlingExceptions,Scattering,LocalReferences,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,MemoryManagement,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,RelativePath,UnusedParameters,UnusedDeclaration,HardCodingLibraries
ExcessiveCommunication,Clustering,MemoryManagement,LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,UnusedImplementation,ExcessiveObjects,SecuringLibraries,RelativePath,HardCodingLibraries,UnusedDeclaration,Scattering,CachingObjects,UnusedParameters
NotHandlingExceptions,MemoryManagement,LocalReferences,ExcessiveCommunication,Scattering,AssumingSafeReturnValue,UnusedImplementation,Clustering,SecuringLibraries,CachingObjects,RelativePath,UnusedDeclaration,UnusedParameters,HardCodingLibraries,ExcessiveObjects
LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,ExcessiveCommunication,UnusedParameters,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,Scattering,RelativePath,UnusedDeclaration,HardCodingLibraries
MemoryManagement,LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,CachingObjects,Clustering,ExcessiveCommunication,UnusedImplementation,Scattering,ExcessiveObjects,SecuringLibraries,UnusedParameters,HardCodingLibraries,UnusedDeclaration,RelativePath
Clustering,LocalReferences,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,UnusedDeclaration,ExcessiveObjects,Scattering,HardCodingLibraries,SecuringLibraries,UnusedImplementation,CachingObjects,RelativePath,UnusedParameters
NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,SecuringLibraries,Clustering,ExcessiveCommunication,MemoryManagement,ExcessiveObjects,Scattering,HardCodingLibraries,UnusedImplementation,RelativePath,UnusedParameters,UnusedDeclaration,CachingObjects
MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,Clustering,Scattering,AssumingSafeReturnValue,LocalReferences,CachingObjects,ExcessiveObjects,HardCodingLibraries,UnusedImplementation,SecuringLibraries,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,Clustering,AssumingSafeReturnValue,MemoryManagement,NotHandlingExceptions,SecuringLibraries,ExcessiveCommunication,UnusedImplementation,Scattering,CachingObjects,HardCodingLibraries,UnusedParameters,RelativePath,UnusedDeclaration,ExcessiveObjects
ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,MemoryManagement,Clustering,UnusedImplementation,ExcessiveObjects,Scattering,CachingObjects,HardCodingLibraries,SecuringLibraries,UnusedDeclaration,UnusedParameters,RelativePath
NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,SecuringLibraries,Clustering,AssumingSafeReturnValue,LocalReferences,ExcessiveObjects,HardCodingLibraries,CachingObjects,Scattering,UnusedImplementation,RelativePath,UnusedDeclaration,UnusedParameters
LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,Clustering,MemoryManagement,ExcessiveCommunication,ExcessiveObjects,UnusedImplementation,Scattering,HardCodingLibraries,SecuringLibraries,UnusedDeclaration,RelativePath,UnusedParameters,CachingObjects
MemoryManagement,Scattering,AssumingSafeReturnValue,Clustering,ExcessiveObjects,ExcessiveCommunication,NotHandlingExceptions,LocalReferences,SecuringLibraries,RelativePath,HardCodingLibraries,UnusedImplementation,CachingObjects,UnusedParameters,UnusedDeclaration
NotHandlingExceptions,LocalReferences,ExcessiveCommunication,MemoryManagement,AssumingSafeReturnValue,Clustering,UnusedImplementation,SecuringLibraries,Scattering,CachingObjects,HardCodingLibraries,ExcessiveObjects,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,Clustering,NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,AssumingSafeReturnValue,ExcessiveObjects,CachingObjects,SecuringLibraries,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,RelativePath,UnusedParameters,Scattering
MemoryManagement,ExcessiveCommunication,AssumingSafeReturnValue,Clustering,Scattering,NotHandlingExceptions,LocalReferences,SecuringLibraries,UnusedImplementation,HardCodingLibraries,CachingObjects,ExcessiveObjects,UnusedParameters,UnusedDeclaration,RelativePath
Clustering,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,LocalReferences,UnusedDeclaration,UnusedImplementation,SecuringLibraries,RelativePath,Scattering,ExcessiveObjects,HardCodingLibraries,CachingObjects,UnusedParameters
NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,SecuringLibraries,MemoryManagement,UnusedImplementation,Scattering,ExcessiveObjects,HardCodingLibraries,CachingObjects,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,NotHandlingExceptions,ExcessiveCommunication,AssumingSafeReturnValue,MemoryManagement,SecuringLibraries,Clustering,Scattering,ExcessiveObjects,UnusedDeclaration,RelativePath,CachingObjects,HardCodingLibraries,UnusedParameters,UnusedImplementation
MemoryManagement,NotHandlingExceptions,AssumingSafeReturnValue,ExcessiveCommunication,Scattering,Clustering,LocalReferences,SecuringLibraries,ExcessiveObjects,UnusedImplementation,HardCodingLibraries,UnusedDeclaration,UnusedParameters,CachingObjects,RelativePath
AssumingSafeReturnValue,Scattering,LocalReferences,Clustering,NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,ExcessiveObjects,SecuringLibraries,HardCodingLibraries,CachingObjects,UnusedImplementation,RelativePath,UnusedDeclaration,UnusedParameters
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,ExcessiveCommunication,Clustering,LocalReferences,ExcessiveObjects,UnusedDeclaration,Scattering,RelativePath,SecuringLibraries,UnusedImplementation,UnusedParameters,CachingObjects,HardCodingLibraries
ExcessiveCommunication,LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,ExcessiveObjects,SecuringLibraries,Scattering,CachingObjects,UnusedImplementation,HardCodingLibraries,RelativePath,UnusedDeclaration,UnusedParameters
LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,Clustering,MemoryManagement,ExcessiveCommunication,ExcessiveObjects,UnusedImplementation,Scattering,HardCodingLibraries,SecuringLibraries,UnusedDeclaration,RelativePath,UnusedParameters,CachingObjects
RelativePath,ExcessiveCommunication,AssumingSafeReturnValue,NotHandlingExceptions,ExcessiveObjects,MemoryManagement,LocalReferences,Clustering,SecuringLibraries,Scattering,UnusedImplementation,CachingObjects,UnusedParameters,UnusedDeclaration,HardCodingLibraries
ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,Scattering,Clustering,LocalReferences,UnusedDeclaration,HardCodingLibraries,ExcessiveObjects,SecuringLibraries,UnusedImplementation,CachingObjects,UnusedParameters,RelativePath
AssumingSafeReturnValue,ExcessiveCommunication,MemoryManagement,SecuringLibraries,NotHandlingExceptions,Clustering,LocalReferences,ExcessiveObjects,CachingObjects,UnusedImplementation,HardCodingLibraries,Scattering,RelativePath,UnusedParameters,UnusedDeclaration
AssumingSafeReturnValue,Scattering,MemoryManagement,ExcessiveCommunication,Clustering,NotHandlingExceptions,LocalReferences,UnusedImplementation,SecuringLibraries,RelativePath,ExcessiveObjects,UnusedDeclaration,HardCodingLibraries,UnusedParameters,CachingObjects
NotHandlingExceptions,LocalReferences,SecuringLibraries,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,RelativePath,Clustering,Scattering,CachingObjects,HardCodingLibraries,UnusedImplementation,ExcessiveObjects,UnusedDeclaration,UnusedParameters
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,ExcessiveObjects,SecuringLibraries,Scattering,CachingObjects,UnusedImplementation,UnusedParameters,HardCodingLibraries,UnusedDeclaration,RelativePath
NotHandlingExceptions,ExcessiveCommunication,AssumingSafeReturnValue,MemoryManagement,Scattering,Clustering,LocalReferences,UnusedDeclaration,ExcessiveObjects,RelativePath,SecuringLibraries,UnusedImplementation,UnusedParameters,CachingObjects,HardCodingLibraries
AssumingSafeReturnValue,Clustering,MemoryManagement,SecuringLibraries,NotHandlingExceptions,ExcessiveCommunication,LocalReferences,UnusedImplementation,ExcessiveObjects,HardCodingLibraries,Scattering,RelativePath,UnusedParameters,UnusedDeclaration,CachingObjects
AssumingSafeReturnValue,LocalReferences,NotHandlingExceptions,Clustering,ExcessiveCommunication,MemoryManagement,Scattering,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,HardCodingLibraries,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,Clustering,AssumingSafeReturnValue,MemoryManagement,SecuringLibraries,CachingObjects,UnusedImplementation,ExcessiveObjects,HardCodingLibraries,Scattering,RelativePath,UnusedDeclaration,UnusedParameters
LocalReferences,ExcessiveCommunication,NotHandlingExceptions,Clustering,AssumingSafeReturnValue,MemoryManagement,SecuringLibraries,CachingObjects,UnusedImplementation,ExcessiveObjects,HardCodingLibraries,Scattering,RelativePath,UnusedDeclaration,UnusedParameters